Age groups (21),    Children in families with two parents present,    Children in families with one parent present,
Total - Age groups,7622095,2349225,
  Under 15 years,4461650,1078575,
  15 to 19 years,1498960,509295, 
    15 to 17 years,924000,316565,
    18 to 19 years,574955,192730,
  20 to 24 years,985120,309435,
  25 to 29 years,377710,139545,
  30 to 34 years,134625,67265,
  35 to 39 years,64995,45775,
  40 to 44 years,42775,46240,
  45 to 49 years,30835,51860,
  50 to 54 years,16850,45685,
  55 to 59 years,6540,30905,
  60 to 64 years,1715,17070,
  65 years and over,305,7580,
    65 to 69 years,280,5840,
    70 to 74 years,30,1420,
    75 years and over,5,320,
      75 to 79 years,0,280,
      80 to 84 years,0,40,
      85 years and over,0,0,
