Age groups (21),  Economic family person,  Person not in economic family, 
Total - Age groups,27958560,4898420,
  Under 15 years,5587095,70,
  15 to 19 years,2090585,71325,
    15 to 17 years,1268090,13570,
    18 to 19 years,822500,57750,
  20 to 24 years,1764825,402600,
  25 to 29 years,1654775,496195,
  30 to 34 years,1766120,379460,
  35 to 39 years,1859295,297490,
  40 to 44 years,1997880,307620,
  45 to 49 years,2263730,387740,
  50 to 54 years,2206130,427910,
  55 to 59 years,1895405,420850,
  60 to 64 years,1623690,404275,
  65 years and over,3249030,1302880,
    65 to 69 years,1169670,327795,
    70 to 74 years,846145,275850,
    75 years and over,1233215,699235,
      75 to 79 years,614270,257605,
      80 to 84 years,387015,228945,
      85 years and over,231925,212685,
