Age groups (21),    Married spouse or common-law partner of reference person,    Child of economic family reference person, 
  Under 15 years,0,5514435,
  15 to 19 years,14320,2014010,
    15 to 17 years,1710,1241240,
    18 to 19 years,12610,772775,
  20 to 24 years,173640,1321275,
  25 to 29 years,496110,557675,
  30 to 34 years,706875,243670,
  35 to 39 years,782470,146050,
  40 to 44 years,839835,118255,
  45 to 49 years,955675,105080,
  50 to 54 years,944405,76385,
  55 to 59 years,825215,44350,
  60 to 64 years,706015,21835,
  65 years and over,1225750,9040,
    65 to 69 years,493570,7015,
    70 to 74 years,338975,1675,
    75 years and over,393210,355,
      75 to 79 years,222790,310,
      80 to 84 years,120260,45,
      85 years and over,50160,0,
