Age groups (21),Total - Household living arrangements,  Total persons in households with at least one census family,
  Under 15 years,5587165,5579500,
  15 to 19 years,2161910,2095470, 
    15 to 17 years,1281655,1270930,
    18 to 19 years,880255,824540,
  20 to 24 years,2167425,1759905,
  25 to 29 years,2150970,1655580,
  30 to 34 years,2145580,1777255,
  35 to 39 years,2156785,1873600,
  40 to 44 years,2305500,2011055,
  45 to 49 years,2651470,2270905,
  50 to 54 years,2634045,2204930,
  55 to 59 years,2316255,1888150,
  60 to 64 years,2027970,1614695,
  65 years and over,4551905,3223480,
    65 to 69 years,1497465,1162325,
    70 to 74 years,1121990,840425,
    75 years and over,1932445,1220730,
      75 to 79 years,871875,609105,
      80 to 84 years,615965,382980,
      85 years and over,444610,228645,
