Selected collective dwelling and population characteristics (52),  Service collective dwellings [5],    Lodging and rooming houses, 
Total - Collective dwellings [8],9730,1950,
Total - Population in collective dwellings [9],59975,15390,
"Total - Population in collective dwellings, male",38245,11985,
"Total - Population in collective dwellings, female",21730,3405,
"Total - Population in collective dwellings, under 15 years",2030,110,
"Total - Population in collective dwellings, male, under 15 years",1070,60,
"Total - Population in collective dwellings, female, under 15 years",960,50,
"Total - Population in collective dwellings, 15 to 19 years",5755,315,
"Total - Population in collective dwellings, male, 15 to 19 years",3000,180,
"Total - Population in collective dwellings, female, 15 to 19 years",2755,140,
"Total - Population in collective dwellings, 20 to 24 years",6200,1040,
"Total - Population in collective dwellings, male, 20 to 24 years",3485,670,
"Total - Population in collective dwellings, female, 20 to 24 years",2720,365,
"Total - Population in collective dwellings, 25 to 29 years",4020,930,
"Total - Population in collective dwellings, male, 25 to 29 years",2490,650,
"Total - Population in collective dwellings, female, 25 to 29 years",1535,280,
"Total - Population in collective dwellings, 30 to 34 years",3045,1015,
"Total - Population in collective dwellings, male, 30 to 34 years",2000,765,
"Total - Population in collective dwellings, female, 30 to 34 years",1045,250,
"Total - Population in collective dwellings, 35 to 39 years",3225,1205,
"Total - Population in collective dwellings, male, 35 to 39 years",2230,940,
"Total - Population in collective dwellings, female, 35 to 39 years",995,265,
"Total - Population in collective dwellings, 40 to 44 years",3920,1640,
"Total - Population in collective dwellings, male, 40 to 44 years",2815,1305,
"Total - Population in collective dwellings, female, 40 to 44 years",1110,330,
"Total - Population in collective dwellings, 45 to 49 years",5220,2045,
"Total - Population in collective dwellings, male, 45 to 49 years",3765,1680,
"Total - Population in collective dwellings, female, 45 to 49 years",1455,365,
"Total - Population in collective dwellings, 50 to 54 years",6185,2210,
"Total - Population in collective dwellings, male, 50 to 54 years",4305,1810,
"Total - Population in collective dwellings, female, 50 to 54 years",1880,405,
"Total - Population in collective dwellings, 55 to 59 years",6100,1905,
"Total - Population in collective dwellings, male, 55 to 59 years",4230,1610,
"Total - Population in collective dwellings, female, 55 to 59 years",1875,295,
"Total - Population in collective dwellings, 60 to 64 years",5430,1400,
"Total - Population in collective dwellings, male, 60 to 64 years",3585,1165,
"Total - Population in collective dwellings, female, 60 to 64 years",1840,235,
"Total - Population in collective dwellings, 65 to 69 years",3675,750,
"Total - Population in collective dwellings, male, 65 to 69 years",2395,615,
"Total - Population in collective dwellings, female, 65 to 69 years",1280,130,
"Total - Population in collective dwellings, 70 to 74 years",2150,365,
"Total - Population in collective dwellings, male, 70 to 74 years",1365,285,
"Total - Population in collective dwellings, female, 70 to 74 years",785,90,
"Total - Population in collective dwellings, 75 to 79 years",1280,200,
"Total - Population in collective dwellings, male, 75 to 79 years",800,145,
"Total - Population in collective dwellings, female, 75 to 79 years",475,55,
"Total - Population in collective dwellings, 80 to 84 years",785,125,
"Total - Population in collective dwellings, male, 80 to 84 years",410,80,
"Total - Population in collective dwellings, female, 80 to 84 years",385,40,
"Total - Population in collective dwellings, 85 years and over",945,135,
"Total - Population in collective dwellings, male, 85 years and over",310,45,
"Total - Population in collective dwellings, female, 85 years and over",630,90,
