Age groups (21),  Single-detached house,"  Apartment, building that has five or more storeys", 
  Under 15 years,3668920,250595,
  15 to 19 years,1478990,85700,
    15 to 17 years,894640,45535,
    18 to 19 years,584345,40165,
  20 to 24 years,1187765,170675,
  25 to 29 years,1000965,227880,
  30 to 34 years,1118990,194610,
  35 to 39 years,1274765,156490,
  40 to 44 years,1455235,142405,
  45 to 49 years,1750760,142145,
  50 to 54 years,1769210,136320,
  55 to 59 years,1553015,127020,
  60 to 64 years,1337815,128625,
  65 years and over,2733810,467230,
    65 to 69 years,964375,109945,
    70 to 74 years,692640,100750,
    75 years and over,1076795,256535,
      75 to 79 years,510850,96460,
      80 to 84 years,338570,85125,
      85 years and over,227385,74950,
