Long-Term Debt Issued by Local Government,Long-Term Debt Issued by MFA
0,"1,679,025"
0,"16,122,000"
"78,832","40,254"
0,"274,106"
0,"2,056,880"
0,0
0,"17,119"
"259,189","420,510"
0,0
0,"434,322"
0,0
0,"24,763,381"
"2,397,371","1,287,266"
0,"48,276"
0,0
0,"986,682"
0,"1,782,396"
0,"106,792"
0,"344,470"
"309,294","1,514,364"
0,"1,815,196"
"120,028","18,766,525"
"946,857","10,066,174"
"2,953,913","7,470,965"
0,"1,984,752"
0,"103,266"
0,"15,502,608"
"41,105","45,802,207"
0,"747,683"
"533,325",0
0,"1,662,977"
0,"7,984,757"
0,"3,939,435"
0,"3,830,830"
0,"487,797"
0,"5,259,017"
0,"350,000"
"82,566","167,242"
0,"1,652,666"
0,0
0,"1,090,035"
0,"338,309"
0,0
0,"137,961"
0,"741,389"
0,"123,705"
0,"656,597"
"713,774","111,310"
0,"182,149"
0,"54,258"
"359,945","1,878,676"
0,"37,434,328"
0,"1,020,712"
0,"82,319,981"
0,"1,014,193"
0,"271,071"
"33,839","3,558,063"
0,0
0,0
"608,487","10,879,889"
0,0
0,"13,059,202"
0,"7,230,791"
0,"5,117,000"
"88,263",0
0,"662,182"
0,0
0,"299,663"
0,"705,418"
0,"290,928"
0,"136,714"
"17,554,318","34,205,750"
0,"171,964"
0,"480,235"
0,"3,366,915"
0,0
0,"505,939"
0,"9,432,969"
"200,000","67,795"
0,"702,731"
"2,436,987","14,235,725"
"7,850,000","13,102,508"
0,0
0,"394,395"
"157,128","10,435,045"
0,"5,311,531"
"308,708","5,609,224"
0,0
0,"17,737,278"
0,"4,572,406"
0,"1,473,391"
0,"1,362,322"
0,"4,970,241"
0,"4,120,996"
0,"620,129"
0,"11,696,427"
0,0
0,"174,460"
0,"521,739"
0,"32,075"
0,0
0,"246,869"
0,0
0,"1,304,013"
"136,580",0
0,"96,321"
0,"4,254,028"
0,"98,313,000"
"4,148,972",0
0,0
0,0
"295,000","6,952,369"
"39,425","1,040,839"
0,"8,717,256"
"34,187,574",0
"493,566","2,304,114"
0,"17,482,328"
0,"171,567"
0,"24,459,848"
0,"125,110"
"109,481","7,516,451"
0,0
"51,299","1,465,011"
0,"2,300,244"
0,0
0,"51,380"
0,"2,071,581"
"729,859",0
0,"97,245"
0,0
"395,473","12,891,939"
0,0
"120,000","11,788,814"
0,0
0,"122,185"
0,"1,828,950"
0,"1,133,131"
0,"1,359,045"
0,0
"200,746","4,083,066"
0,0
"755,249",0
0,0
"532,512,000",0
0,0
"1,239,976","35,350,352"
"142,281","53,107,680"
0,"36,126"
0,"69,264"
0,"115,277"
"130,722","2,454,997"
"12,260,225","3,690,414"
0,"746,797"
0,"6,066,536"
0,"101,255"
"625,982,357","808,006,056"
