Purpose of Tax Rate,Major Industry,Farm
Municipal,46.56868,2.66649
Reg'l District,5.67371,2.28176
Hospital,2.42208,0.71238
School,12.50000,6.80000
Other,0.54290,0.10590
Total,67.70737,12.56653
Municipal,0.00000,12.61072
Reg'l District,0.00000,0.20063
Hospital,0.00000,0.39984
School,12.50000,6.80000
Other,0.54290,0.10590
Total,13.04290,20.11709
Municipal,24.75870,7.28197
Reg'l District,3.80276,1.11846
Hospital,1.41858,0.41723
School,12.50000,6.80000
Other,0.54290,0.10590
Total,43.02294,15.72356
Municipal,1.43330,1.43330
Reg'l District,0.00000,0.46840
Hospital,0.00000,0.00000
School,12.50000,6.80000
Other,0.54290,0.38110
Total,14.47620,9.08280
Municipal,0.00000,7.68960
Reg'l District,0.00000,0.62650
Hospital,0.00000,0.26780
School,12.50000,6.80000
Other,0.54290,0.10590
Total,13.04290,15.48980
Municipal,0.00000,7.70000
Reg'l District,0.00000,1.19620
Hospital,0.00000,0.35120
School,12.50000,6.80000
Other,0.54290,0.10590
Total,13.04290,16.15330
Municipal,0.00000,0.00000
Reg'l District,0.00000,0.00000
Hospital,0.00000,0.00000
School,12.50000,6.80000
Other,0.54290,0.10590
Total,13.04290,6.90590
Municipal,0.00000,1.52510
Reg'l District,0.00000,0.09753
Hospital,0.00000,0.00000
School,12.50000,6.80000
Other,3.33054,0.53261
Total,15.83054,8.95524
Municipal,58.29550,10.81290
Reg'l District,0.35420,0.10420
Hospital,0.00000,0.00000
School,12.50000,6.80000
Other,2.81540,0.38110
Total,73.96510,18.09820
Municipal,5.65250,6.76570
Reg'l District,10.12350,2.97750
Hospital,1.34520,0.39560
School,12.50000,6.80000
Other,0.54290,0.10590
Total,30.16410,17.04470
Municipal,25.96870,13.13360
Reg'l District,4.00040,1.17660
Hospital,1.19410,0.35120
School,12.50000,6.80000
Other,0.54290,0.10590
Total,44.20610,21.56730
Municipal,53.18430,5.51230
Reg'l District,8.35250,0.86570
Hospital,1.34570,0.39580
School,12.50000,6.80000
Other,0.54290,0.10590
Total,75.92540,13.67970
Municipal,30.37570,0.00000
Reg'l District,4.35630,0.00000
Hospital,1.04440,0.00000
School,12.50000,6.80000
Other,0.54290,0.10590
Total,48.81930,6.90590
Municipal,7.62881,3.46764
Reg'l District,1.33732,0.60787
Hospital,1.03293,0.30380
School,12.50000,6.80000
Other,1.41010,0.26650
Total,23.90916,11.44581
Municipal,0.00000,9.09760
Reg'l District,0.00000,1.21850
Hospital,0.00000,0.35120
School,12.50000,6.80000
Other,0.54290,0.10590
Total,13.04290,17.57320
Municipal,40.68530,0.00000
Reg'l District,8.46210,0.00000
Hospital,0.90610,0.00000
School,12.50000,6.80000
Other,0.54290,0.10590
Total,63.09640,6.90590
Municipal,0.00000,11.60861
Reg'l District,0.00000,0.50459
Hospital,0.00000,0.39981
School,12.50000,6.80000
Other,0.54290,0.80225
Total,13.04290,20.11526
Municipal,9.70960,0.00000
Reg'l District,4.37980,0.00000
Hospital,1.19420,0.00000
School,12.50000,6.80000
Other,0.54290,0.10590
Total,28.32650,6.90590
Municipal,27.69753,6.28336
Reg'l District,13.59691,3.99909
Hospital,0.91263,0.26842
School,12.50000,6.80000
Other,0.54290,0.10590
Total,55.24997,17.45677
Municipal,36.74330,58.55530
Reg'l District,1.69260,0.49780
Hospital,1.03190,0.30350
School,12.50000,6.80000
Other,1.41010,0.26650
Total,53.37790,66.42310
Municipal,17.55320,4.38830
Reg'l District,4.03920,1.00980
Hospital,1.34620,0.39590
School,12.50000,6.80000
Other,0.54290,0.10590
Total,35.98150,12.69990
Municipal,54.83570,13.51870
Reg'l District,0.35630,0.10480
Hospital,0.00000,0.00000
School,12.50000,6.80000
Other,2.81540,0.38110
Total,70.50740,20.80460
Municipal,23.90360,5.97590
Reg'l District,3.93240,0.98310
Hospital,1.34610,0.39590
School,12.50000,6.80000
Other,0.54290,0.10590
Total,42.22500,14.26080
Municipal,58.78060,11.14070
Reg'l District,1.38130,0.26180
Hospital,1.12110,0.32970
School,12.50000,6.80000
Other,0.54290,0.10590
Total,74.32590,18.63810
Municipal,0.00000,6.91820
Reg'l District,0.00000,2.46020
Hospital,0.00000,0.26470
School,12.50000,6.80000
Other,0.54290,0.10590
Total,13.04290,16.54900
Municipal,24.99000,7.35000
Reg'l District,3.98750,1.17280
Hospital,1.34620,0.39590
School,12.50000,6.80000
Other,0.54290,0.10590
Total,43.36660,15.82460
Municipal,33.47000,10.51000
Reg'l District,2.49600,0.73400
Hospital,0.90100,0.26500
School,12.50000,6.80000
Other,0.54290,0.10590
Total,49.90990,18.41490
Municipal,27.99660,12.29830
Reg'l District,0.34780,0.10230
Hospital,0.00000,0.00000
School,12.50000,6.80000
Other,6.41310,1.96150
Total,47.25750,21.16210
Municipal,0.00000,0.00000
Reg'l District,0.00000,0.00000
Hospital,0.00000,0.00000
School,12.50000,6.80000
Other,0.54290,0.10590
Total,13.04290,6.90590
Municipal,22.10000,6.50000
Reg'l District,0.94770,1.72390
Hospital,1.12030,0.32950
School,12.50000,6.80000
Other,0.54290,0.10590
Total,37.21090,15.45930
Municipal,0.00000,4.60860
Reg'l District,0.00000,1.40830
Hospital,0.00000,0.26860
School,12.50000,6.80000
Other,0.54290,0.10590
Total,13.04290,13.19140
Municipal,29.32502,0.00000
Reg'l District,3.94075,0.00000
Hospital,1.03401,0.00000
School,12.50000,6.80000
Other,1.41010,0.10590
Total,48.20988,6.90590
Municipal,17.94425,5.27772
Reg'l District,6.53276,1.92140
Hospital,1.12165,0.32990
School,12.50000,6.80000
Other,0.54290,0.10590
Total,38.64156,14.43492
Municipal,0.00000,0.00000
Reg'l District,0.00000,0.00000
Hospital,0.00000,0.00000
School,12.50000,6.80000
Other,0.54290,0.10590
Total,13.04290,6.90590
Municipal,46.08850,0.00000
Reg'l District,5.85820,0.00000
Hospital,1.34630,0.00000
School,12.50000,6.80000
Other,0.54290,0.10590
Total,66.33590,6.90590
Municipal,12.50000,8.41100
Reg'l District,3.36700,0.99030
Hospital,0.91030,0.26770
School,12.50000,6.80000
Other,1.59010,0.41390
Total,30.86740,16.88290
Municipal,30.73300,0.00000
Reg'l District,5.23770,0.00000
Hospital,1.30290,0.00000
School,12.50000,6.80000
Other,0.54290,0.10590
Total,50.31650,6.90590
Municipal,19.21502,5.65148
Reg'l District,13.38900,3.93790
Hospital,0.92674,0.27257
School,12.50000,6.80000
Other,0.54290,0.10590
Total,46.57366,16.76785
Municipal,0.00000,3.48740
Reg'l District,0.00000,1.06400
Hospital,0.00000,0.13970
School,12.50000,6.80000
Other,0.54290,0.10590
Total,13.04290,11.59700
Municipal,0.00000,0.00000
Reg'l District,0.00000,0.00000
Hospital,0.00000,0.00000
School,12.50000,6.80000
Other,0.54290,0.10590
Total,13.04290,6.90590
Municipal,26.47140,0.00000
Reg'l District,2.14380,0.00000
Hospital,0.83880,0.00000
School,12.50000,6.80000
Other,0.54290,0.10590
Total,42.49690,6.90590
Municipal,42.47410,6.07930
Reg'l District,8.60840,2.53190
Hospital,0.92670,0.27260
School,12.50000,6.80000
Other,0.54290,0.10590
Total,65.05210,15.78970
Municipal,0.00000,0.00000
Reg'l District,0.00000,0.00000
Hospital,0.00000,0.00000
School,12.50000,6.80000
Other,0.54290,0.10590
Total,13.04290,6.90590
Municipal,0.00000,0.00000
Reg'l District,0.00000,0.00000
Hospital,0.00000,0.00000
School,12.50000,6.80000
Other,0.54290,0.10590
Total,13.04290,6.90590
Municipal,14.04458,4.13076
Reg'l District,1.06580,0.31347
Hospital,1.44891,0.42615
School,12.50000,6.80000
Other,0.54290,0.10590
Total,29.60219,11.77628
Municipal,0.00000,0.00000
Reg'l District,0.00000,0.00000
Hospital,0.00000,0.00000
School,12.50000,6.80000
Other,0.54290,0.10590
Total,13.04290,6.90590
Municipal,12.32910,12.32910
Reg'l District,1.60023,0.47066
Hospital,1.03997,0.30587
School,12.50000,6.80000
Other,1.41010,0.26650
Total,28.87940,20.17213
Municipal,0.00000,6.16720
Reg'l District,0.00000,1.10380
Hospital,0.00000,0.39410
School,12.50000,6.80000
Other,0.54290,0.10590
Total,13.04290,14.57100
Municipal,63.00000,7.10000
Reg'l District,4.37716,1.28740
Hospital,1.56770,0.46110
School,12.50000,6.80000
Other,0.54290,0.10590
Total,81.98776,15.75440
Municipal,17.00000,4.00000
Reg'l District,2.06160,0.60640
Hospital,0.90920,0.26740
School,12.50000,6.80000
Other,0.54290,0.10590
Total,33.01370,11.77970
Municipal,8.46801,0.90742
Reg'l District,2.89157,0.85046
Hospital,1.12016,0.32946
School,12.50000,6.80000
Other,0.54290,0.10590
Total,25.52264,8.99324
Municipal,74.64000,10.28000
Reg'l District,1.88390,0.55410
Hospital,1.19610,0.35180
School,12.50000,6.80000
Other,0.54290,0.10590
Total,90.76290,18.09180
Municipal,14.39900,4.23530
Reg'l District,5.18900,1.52614
Hospital,1.04760,0.30814
School,12.50000,6.80000
Other,0.54290,0.10590
Total,33.67850,12.97548
Municipal,19.10080,0.50000
Reg'l District,2.08150,0.61220
Hospital,1.17650,0.34600
School,12.50000,6.80000
Other,0.54290,0.10590
Total,35.40170,8.36410
Municipal,13.80000,10.40000
Reg'l District,0.62180,0.46860
Hospital,1.34500,0.39560
School,12.50000,6.80000
Other,0.54290,0.10590
Total,28.80970,18.17010
Municipal,0.00000,14.97230
Reg'l District,0.00000,2.74580
Hospital,0.00000,0.62400
School,12.50000,6.80000
Other,0.54290,0.10590
Total,13.04290,25.24800
Municipal,0.00000,0.00000
Reg'l District,0.00000,0.00000
Hospital,0.00000,0.00000
School,12.50000,6.80000
Other,0.54290,0.10590
Total,13.04290,6.90590
Municipal,55.79570,122.82320
Reg'l District,1.00460,2.21130
Hospital,1.91790,0.56410
School,12.50000,6.80000
Other,1.66220,0.43510
Total,72.88040,132.83370
Municipal,96.00000,24.00000
Reg'l District,1.96170,0.57700
Hospital,1.24700,0.36680
School,12.50000,6.80000
Other,0.54290,0.10590
Total,112.25160,31.84970
Municipal,21.77460,0.77060
Reg'l District,2.03490,0.59850
Hospital,1.17910,0.34680
School,12.50000,6.80000
Other,0.54290,0.10590
Total,38.03150,8.62180
Municipal,125.22739,0.00000
Reg'l District,5.78575,0.00000
Hospital,1.16640,0.00000
School,12.50000,6.80000
Other,0.54290,0.10590
Total,145.22244,6.90590
Municipal,13.26860,3.90250
Reg'l District,2.46300,0.72440
Hospital,1.03290,0.30380
School,12.50000,6.80000
Other,1.41010,0.26650
Total,30.67460,11.99720
Municipal,12.02000,5.20000
Reg'l District,0.35418,0.10417
Hospital,0.00000,0.00000
School,12.50000,6.80000
Other,2.81540,0.38110
Total,27.68958,12.48527
Municipal,14.02698,7.56021
Reg'l District,0.35391,0.10409
Hospital,0.00000,0.00000
School,12.50000,6.80000
Other,2.81540,0.38110
Total,29.69629,14.84540
Municipal,0.00000,2.63060
Reg'l District,0.00000,1.10550
Hospital,0.00000,0.34300
School,12.50000,6.80000
Other,0.54290,0.10590
Total,13.04290,10.98500
Municipal,15.32890,4.50850
Reg'l District,6.56060,1.92960
Hospital,1.13080,0.33260
School,12.50000,6.80000
Other,0.54290,0.10590
Total,36.06320,13.67660
Municipal,9.50000,9.50000
Reg'l District,0.34750,0.10220
Hospital,0.00000,0.00000
School,12.50000,6.80000
Other,2.81540,0.38110
Total,25.16290,16.78330
Municipal,13.44940,5.54860
Reg'l District,3.52990,1.45630
Hospital,1.19410,0.35120
School,12.50000,6.80000
Other,0.54290,0.10590
Total,31.21630,14.26200
Municipal,18.43113,5.24198
Reg'l District,17.99088,5.29143
Hospital,0.91262,0.26842
School,12.50000,6.80000
Other,0.54290,0.10590
Total,50.37753,17.70773
Municipal,30.61340,0.00000
Reg'l District,4.79840,0.00000
Hospital,1.19440,0.00000
School,12.50000,6.80000
Other,0.54290,0.10590
Total,49.64910,6.90590
Municipal,32.50900,9.15600
Reg'l District,2.80700,0.82600
Hospital,1.76800,0.52000
School,12.50000,6.80000
Other,0.54290,0.10590
Total,50.12690,17.40790
Municipal,55.75010,16.18770
Reg'l District,0.35390,0.10410
Hospital,0.00000,0.00000
School,12.50000,6.80000
Other,2.81540,0.38110
Total,71.41940,23.47290
Municipal,0.00000,0.00000
Reg'l District,0.00000,0.00000
Hospital,0.00000,0.00000
School,12.50000,6.80000
Other,0.54290,0.10590
Total,13.04290,6.90590
Municipal,27.68000,6.92000
Reg'l District,16.61070,4.88550
Hospital,1.76460,0.51900
School,12.50000,6.80000
Other,0.54290,0.10590
Total,59.09820,19.23040
Municipal,50.79050,13.11320
Reg'l District,4.06620,1.19590
Hospital,1.19460,0.35140
School,12.50000,6.80000
Other,0.54290,0.10590
Total,69.09420,21.56640
Municipal,10.41220,6.79700
Reg'l District,1.76560,0.51930
Hospital,1.03190,0.30350
School,12.50000,6.80000
Other,1.41010,0.26650
Total,27.11980,14.68630
Municipal,28.89450,4.39500
Reg'l District,1.60550,0.47220
Hospital,0.92700,0.27260
School,12.50000,6.80000
Other,0.54290,0.10590
Total,44.46990,12.04570
Municipal,17.98810,15.87830
Reg'l District,0.70160,0.62040
Hospital,1.34370,0.39520
School,12.50000,6.80000
Other,0.54290,0.10590
Total,33.07630,23.79980
Municipal,0.00000,0.00000
Reg'l District,0.00000,0.00000
Hospital,0.00000,0.00000
School,12.50000,6.80000
Other,0.54290,0.10590
Total,13.04290,6.90590
Municipal,0.00000,5.44230
