Purpose of Tax Rate,Utilities,Farm
Municipal,40.00000,2.66649
Reg'l District,5.15295,2.28176
Hospital,2.49332,0.71238
School,15.00000,6.80000
Other,0.54290,0.10590
Total,63.18917,12.56653
Municipal,39.99970,12.61072
Reg'l District,0.70223,0.20063
Hospital,1.39944,0.39984
School,15.00000,6.80000
Other,0.54290,0.10590
Total,57.64427,20.11709
Municipal,25.48690,7.28197
Reg'l District,3.91461,1.11846
Hospital,1.46031,0.41723
School,15.00000,6.80000
Other,0.54290,0.10590
Total,46.40472,15.72356
Municipal,1.43330,1.43330
Reg'l District,1.63920,0.46840
Hospital,0.00000,0.00000
School,15.00000,6.80000
Other,2.88060,0.38110
Total,20.95310,9.08280
Municipal,30.20290,7.68960
Reg'l District,2.19250,0.62650
Hospital,0.93730,0.26780
School,15.00000,6.80000
Other,0.54290,0.10590
Total,48.87560,15.48980
Municipal,26.26000,7.70000
Reg'l District,4.18650,1.19620
Hospital,1.22920,0.35120
School,15.00000,6.80000
Other,0.54290,0.10590
Total,47.21860,16.15330
Municipal,8.68000,0.00000
Reg'l District,1.89380,0.00000
Hospital,0.00000,0.00000
School,15.00000,6.80000
Other,2.88060,0.10590
Total,28.45440,6.90590
Municipal,12.68880,1.52510
Reg'l District,0.34136,0.09753
Hospital,0.00000,0.00000
School,15.00000,6.80000
Other,3.41089,0.53261
Total,31.44105,8.95524
Municipal,40.00000,10.81290
Reg'l District,0.36460,0.10420
Hospital,0.00000,0.00000
School,15.00000,6.80000
Other,2.88060,0.38110
Total,58.24520,18.09820
Municipal,34.22840,6.76570
Reg'l District,10.42120,2.97750
Hospital,1.38470,0.39560
School,15.00000,6.80000
Other,0.54290,0.10590
Total,61.57720,17.04470
Municipal,13.35330,13.13360
Reg'l District,4.11810,1.17660
Hospital,1.22920,0.35120
School,15.00000,6.80000
Other,0.54290,0.10590
Total,34.24350,21.56730
Municipal,15.86270,5.51230
Reg'l District,2.49120,0.86570
Hospital,1.38530,0.39580
School,15.00000,6.80000
Other,0.54290,0.10590
Total,35.28210,13.67970
Municipal,36.53110,0.00000
Reg'l District,4.48450,0.00000
Hospital,1.07510,0.00000
School,15.00000,6.80000
Other,0.54290,0.10590
Total,57.63360,6.90590
Municipal,17.33820,3.46764
Reg'l District,3.03936,0.60787
Hospital,1.06331,0.30380
School,15.00000,6.80000
Other,1.41010,0.26650
Total,37.85097,11.44581
Municipal,40.00000,9.09760
Reg'l District,4.26490,1.21850
Hospital,1.22930,0.35120
School,15.00000,6.80000
Other,0.54290,0.10590
Total,61.03710,17.57320
Municipal,43.61130,0.00000
Reg'l District,8.71100,0.00000
Hospital,0.93270,0.00000
School,15.00000,6.80000
Other,0.54290,0.10590
Total,68.79790,6.90590
Municipal,40.62134,11.60861
Reg'l District,1.76608,0.50459
Hospital,1.39934,0.39981
School,15.00000,6.80000
Other,2.98014,0.80225
Total,61.76690,20.11526
Municipal,39.67980,0.00000
Reg'l District,4.50870,0.00000
Hospital,1.22940,0.00000
School,15.00000,6.80000
Other,0.54290,0.10590
Total,60.96080,6.90590
Municipal,14.75440,6.28336
Reg'l District,13.99676,3.99909
Hospital,0.93947,0.26842
School,15.00000,6.80000
Other,0.54290,0.10590
Total,45.23353,17.45677
Municipal,36.69130,58.55530
Reg'l District,1.74240,0.49780
Hospital,1.06220,0.30350
School,15.00000,6.80000
Other,1.41010,0.26650
Total,55.90600,66.42310
Municipal,30.71810,4.38830
Reg'l District,7.06860,1.00980
Hospital,1.38580,0.39590
School,15.00000,6.80000
Other,0.54290,0.10590
Total,54.71540,12.69990
Municipal,48.32200,13.51870
Reg'l District,0.36680,0.10480
Hospital,0.00000,0.00000
School,15.00000,6.80000
Other,2.88060,0.38110
Total,66.56940,20.80460
Municipal,41.83130,5.97590
Reg'l District,6.88170,0.98310
Hospital,1.38570,0.39590
School,15.00000,6.80000
Other,0.54290,0.10590
Total,65.64160,14.26080
Municipal,67.37480,11.14070
Reg'l District,1.58320,0.26180
Hospital,1.15410,0.32970
School,15.00000,6.80000
Other,0.54290,0.10590
Total,85.65500,18.63810
Municipal,39.99990,6.91820
Reg'l District,8.61070,2.46020
Hospital,0.92660,0.26470
School,15.00000,6.80000
Other,0.54290,0.10590
Total,65.08010,16.54900
Municipal,39.98400,7.35000
Reg'l District,6.44920,1.17280
Hospital,1.38600,0.39590
School,15.00000,6.80000
Other,0.54290,0.10590
Total,63.36210,15.82460
Municipal,60.34000,10.51000
Reg'l District,2.56900,0.73400
Hospital,0.92800,0.26500
School,15.00000,6.80000
Other,0.54290,0.10590
Total,79.37990,18.41490
Municipal,40.00000,12.29830
Reg'l District,0.35810,0.10230
Hospital,0.00000,0.00000
School,15.00000,6.80000
Other,8.02080,1.96150
Total,63.37890,21.16210
Municipal,37.94870,0.00000
Reg'l District,5.38220,0.00000
Hospital,1.28470,0.00000
School,15.00000,6.80000
Other,0.54290,0.10590
Total,60.15850,6.90590
Municipal,22.75000,6.50000
Reg'l District,6.03390,1.72390
