Claimants over 65 No. of Properties,Applied to School Tax
172 ,"76,397 "
"8,991 ","5,388,000 "
48 ,"39,055 "
36 ,"21,912 "
527 ,"317,252 "
275 ,"143,026 "
37 ,"26,378 "
203 ,"143,496 "
"12,847 ","9,532,378 "
90 ,"48,082 "
130 ,"55,365 "
"2,236 ","1,326,214 "
159 ,"24,029 "
770 ,"464,821 "
"1,642 ","1,205,563 "
389 ,"180,963 "
94 ,"47,951 "
"5,699 ","3,659,076 "
90 ,"26,065 "
798 ,"570,482 "
951 ,"749,032 "
"1,529 ","1,031,221 "
"6,292 ","4,605,971 "
"2,319 ","1,326,140 "
"1,616 ","848,005 "
849 ,"387,052 "
207 ,"94,585 "
680 ,"417,142 "
"6,483 ","4,984,481 "
637 ,"318,048 "
75 ,"24,858 "
426 ,"211,185 "
"1,192 ","822,852 "
284 ,"212,667 "
59 ,"36,014 "
83 ,"42,146 "
507 ,"305,219 "
75 ,"30,499 "
144 ,"67,503 "
519 ,"325,318 "
111 ,"67,829 "
221 ,"119,911 "
592 ,"274,597 "
75 ,"16,749 "
126 ,"45,898 "
215 ,"168,192 "
18 ,"8,524 "
87 ,"71,268 "
745 ,"418,798 "
162 ,"69,495 "
96 ,"30,761 "
210 ,"153,726 "
"6,291 ","3,908,492 "
122 ,"105,382 "
"1,086 ","6,710,113 "
838 ,"551,520 "
299 ,"152,420 "
700 ,"305,042 "
600 ,"291,888 "
860 ,"480,226 "
726 ,"476,256 "
287 ,"139,471 "
"1,319 ","133,932 "
"1,713 ","997,464 "
"6,137 ","4,178,000 "
383 ,"285,203 "
476 ,"228,344 "
87 ,"68,682 "
352 ,"122,851 "
174 ,"78,611 "
28 ,"12,829 "
99 ,"40,750 "
"3,969 ","3,400,991 "
53 ,"21,638 "
44 ,"13,248 "
641 ,"508,268 "
353 ,"270,887 "
98 ,"36,451 "
"1,935 ","1,267,488 "
118 ,"58,880 "
184 ,"98,634 "
"7,630 ","4,710,115 "
723 ,"528,565 "
69 ,"53,875 "
45 ,"18,000 "
"3,439 ","2,376,771 "
"5,407 ","2,851,165 "
"1,247 ","984,336 "
"2,874 ","2,061,130 "
"6,203 ","4,920,850 "
"2,075 ","1,725,218 "
778 ,"453,876 "
979 ,"686,280 "
"2,101 ","1,208,382 "
762 ,"524,074 "
30 ,"18,618 "
"4,001 ","2,472,138 "
967 ,"601,270 "
"1,847 ","880,564 "
44 ,"17,709 "
30 ,"21,181 "
"2,335 ","1,665,928 "
40 ,"17,086 "
179 ,"88,308 "
82 ,"53,266 "
"1,130 ","910,461 "
53 ,"23,283 "
"1,564 ","872,879 "
"3,559 ","2,002,000 "
667 ,"386,136 "
418 ,"162,571 "
"2,022 ","1,486,218 "
41 ,"23,391 "
700 ,"344,361 "
60 ,"35,001 "
530 ,"321,590 "
"10,938 ","9,050,065 "
218 ,"150,466 "
"10,504 ","8,090,701 "
115 ,"38,199 "
"1,896 ","1,101,018 "
330 ,"12,556 "
"1,294 ","803,278 "
122 ,"61,845 "
386 ,"193,544 "
"2,095 ","1,335,564 "
28 ,"17,626 "
36 ,"9,491 "
299 ,"190,333 "
743 ,"423,824 "
446 ,"278,905 "
217 ,"89,283 "
724 ,"453,087 "
41 ,"8,463 "
"1,554 ","948,064 "
"21,022 ","14,802,271 "
39 ,"15,312 "
49 ,"24,717 "
55 ,"30,952 "
629 ,"388,425 "
303 ,"167,015 "
"1,059 ","479,192 "
178 ,"82,168 "
81 ,"153,247 "
95 ,"38,890 "
"27,164 ","22,460,463 "
258 ,"164,231 "
"3,903 ","2,324,548 "
"5,501 ","3,846,670 "
637 ,"533,168 "
173 ,"146,001 "
20 ,"5,046 "
"3,183 ","2,161,993 "
129 ,"86,823 "
"2,549 ","1,646,547 "
660 ,"510,616 "
11 ,"4,124 "
"247,105 ","175,361,479 "
