Individual_ID,Species_ID,Region,Temperature,Willow
S0084,LM,SYM,82,0
S0085,LM,SYM,84,1
S0086,LM,SYM,84,1
S0088,LM,SYM,84,1
S0089,LM,SYM,84,1
S0090,LM,SYM,84,0
S0091,LM,SYM,84,1
S0092,LM,SYM,84,1
S0093,LM,SYM,84,1
S0094,LM,SYM,84,1
S0095,LM,SYM,84,1
S0096,LM,SYM,84,1
S0097,LL,SYM,84,1
S0098,LM,SYM,84,1
S0100,LM,SYM,84,0
S0101,LL,SYM,85,1
S0102,LL,SYM,85,1
S0104,LL,SYM,85,1
S0105,LL,SYM,85,1
S0106,LM,SYM,85,1
S0107,LM,SYM,85,1
S0108,LL,SYM,85,1
S0109,LM,SYM,85,1
S0111,LM,SYM,85,1
S0112,LM,SYM,84,1
S0113,LL,SYM,85,1
S0114,LL,SYM,84,1
S0115,LL,SYM,84,1
S0116,LL,SYM,85,1
S0117,LL,SYM,85,1
S0118,LL,SYM,85,1
S0119,LL,SYM,85,1
S0121,LL,SYM,85,1
S0123,LL,SYM,84,1
S0124,LL,SYM,84,1
S0125,LL,SYM,84,1
S0126,LL,SYM,84,1
S0127,LM,SYM,82,1
S0128,LM,SYM,84,1
S0129,LM,SYM,84,1
S0130,LM,SYM,84,1
S0131,LL,SYM,84,1
S0132,LL,SYM,84,1
S0133,LL,SYM,84,1
S0134,LL,SYM,84,1
S0135,LM,SYM,84,0
S0136,LM,SYM,84,1
S0137,LM,SYM,84,1
S0138,LM,SYM,84,1
S0139,LL,SYM,84,0
S0140,LL,SYM,84,1
S0141,LL,SYM,84,1
S0142,LL,SYM,84,1
S0143,LM,SYM,84,1
S0146,LM,SYM,83,0
S0147,LL,SYM,80,1
S0148,LL,SYM,80,1
S0149,LL,SYM,80,1
S0150,LL,SYM,80,1
S0151,LL,SYM,80,1
S0152,LL,SYM,80,1
S0153,LL,SYM,81,0
S0154,LL,SYM,80,0
S0155,LL,SYM,80,1
S0157,LL,SYM,81,0
S0158,LM,SYM,80,0
S0159,LM,SYM,80,0
S0160,LM,SYM,80,0
S0162,LL,SYM,80,1
S0163,LL,SYM,79,1
S0164,LL,SYM,80,1
S0165,LL,SYM,87,1
S0166,LL,SYM,87,1
S0167,LM,SYM,87,1
S0168,LL,SYM,87,1
S0169,LL,SYM,87,1
S0170,LL,SYM,87,1
S0171,LM,SYM,88,1
S0172,LM,SYM,88,1
S0173,LM,SYM,88,1
S0174,LL,SYM,89,1
S0175,LL,SYM,89,1
S0178,LL,SYM,91,1
S0179,LL,SYM,91,1
S0180,LL,SYM,91,1
S0181,LL,SYM,89,0
S0182,LM,SYM,89,0
S0183,LM,SYM,90,0
S0184,LM,SYM,90,0
S0185,LM,SYM,89,0
S0187,LM,SYM,85,1
S0188,LM,SYM,85,1
S0189,LM,SYM,85,0
S0190,LM,SYM,84,0
S0191,LM,SYM,84,0
S0192,LL,SYM,79,1
S0193,LM,SYM,79,1
S0194,LL,SYM,79,1
