Temperature,Willow
82,0
84,1
84,1
84,1
84,1
84,0
84,1
84,1
84,1
84,1
84,1
84,1
84,1
84,1
84,0
85,1
85,1
85,1
85,1
85,1
85,1
85,1
85,1
85,1
84,1
85,1
84,1
84,1
85,1
85,1
85,1
85,1
85,1
84,1
84,1
84,1
84,1
82,1
84,1
84,1
84,1
84,1
84,1
84,1
84,1
84,0
84,1
84,1
84,1
84,0
84,1
84,1
84,1
84,1
83,0
80,1
80,1
80,1
80,1
80,1
80,1
81,0
80,0
80,1
81,0
80,0
80,0
80,0
80,1
79,1
80,1
87,1
87,1
87,1
87,1
87,1
87,1
88,1
88,1
88,1
89,1
89,1
91,1
91,1
91,1
89,0
89,0
90,0
90,0
89,0
85,1
85,1
85,0
84,0
84,0
79,1
79,1
79,1
