Longitude,Temperature
17.480033,82
17.593100,84
17.824933,84
17.794217,84
17.790783,84
17.787333,84
17.786717,84
17.659067,84
17.657867,84
17.660217,84
17.818033,84
17.818183,84
17.746417,84
17.746417,84
17.737467,84
17.858017,85
17.864483,85
18.078083,85
18.076033,85
18.074683,85
18.074783,85
18.069450,85
18.071750,85
18.113167,85
18.169167,84
18.090383,85
18.046617,84
18.035133,84
18.052417,85
18.053800,85
18.026367,85
18.027167,85
18.014633,85
17.906433,84
17.911283,84
17.927383,84
17.926050,84
17.876600,82
17.725767,84
17.725867,84
17.729983,84
17.729683,84
17.722167,84
17.706083,84
17.706917,84
17.661900,84
17.643083,84
17.644150,84
17.644150,84
17.595100,84
17.596033,84
17.590017,84
17.591250,84
17.591250,84
17.231833,83
16.557317,80
16.559017,80
16.559450,80
16.560817,80
16.560817,80
16.562967,80
16.435783,81
16.452350,80
16.538617,80
16.565733,81
16.517883,80
16.512667,80
16.544350,80
16.573800,80
16.570383,79
16.564533,80
15.763733,87
15.763733,87
15.764450,87
15.745117,87
15.735033,87
15.735767,87
15.704067,88
15.704067,88
15.700083,88
15.659050,89
15.659050,89
15.424683,91
15.424400,91
15.424900,91
15.398917,89
15.399033,89
15.399417,90
15.399350,90
15.389900,89
16.561817,85
16.562733,85
16.620767,85
16.632133,84
16.632617,84
20.247483,79
20.247500,79
20.247650,79
