species,number of roots colonized by DSE fungi,number of roots colonized by non-filamentous fungi
E. barberi,0,35
E. barberi,3,36
E. barberi,0,45
E. barberi,0,1
E. barberi,3,18
E. barberi,3,5
E. barberi,8,11
E. barberi,0,22
E. barberi,6,31
E. barberi,0,40
E. barberi,4,9
E. barberi,1,1
E. barberi,6,2
E. barberi,0,13
E. barberi,5,29
E. barberi,3,43
E. barberi,1,3
E. barberi,1,35
E. barberi,5,2
E. barberi,6,26
E. barberi,1,40
E. barberi,0,33
E. barberi,0,37
E. barberi,1,24
E. barberi,0,35
E. barberi,0,34
E. barberi,3,23
E. barberi,0,18
E. barberi,28,20
E. barberi,4,21
E. barberi,5,22
E. barberi,0,15
E. barberi,3,39
E. barberi,2,34
E. barberi,5,21
E. barberi,1,9
E. barberi,0,39
E. barberi,9,38
E. barberi,2,41
E. barberi,1,35
E. barberi,2,25
E. barberi,1,5
E. barberi,10,14
E. barberi,40,2
E. barberi,27,21
E. barberi,0,50
E. barberi,5,30
E. barberi,3,31
E. barberi,0,30
E. barberi,19,32
E. barberi,6,16
E. barberi,2,40
E. barberi,6,22
E. barberi,3,16
E. barberi,14,6
E. barberi,0,0
E. barberi,8,14
E. brookeriana,3,39
E. brookeriana,2,16
E. brookeriana,5,42
E. brookeriana,14,36
E. brookeriana,1,13
E. brookeriana,0,5
E. brookeriana,1,34
E. brookeriana,5,31
E. brookeriana,2,35
E. brookeriana,0,49
E. brookeriana,17,9
E. brookeriana,4,0
E. brookeriana,0,16
E. brookeriana,4,25
E. brookeriana,2,47
E. brookeriana,15,32
E. brookeriana,3,45
E. brookeriana,0,24
E. brookeriana,0,30
E. brookeriana,6,20
E. brookeriana,7,21
E. brookeriana,0,41
E. brookeriana,5,42
E. brookeriana,6,44
E. brookeriana,0,39
E. brookeriana,3,32
E. brookeriana,0,19
E. brookeriana,1,26
E. brookeriana,0,10
E. brookeriana,6,25
E. brookeriana,3,30
E. brookeriana,0,13
E. brookeriana,21,6
E. brookeriana,1,32
E. brookeriana,2,37
E. brookeriana,0,38
E. brookeriana,3,12
E. brookeriana,4,45
E. brookeriana,7,27
E. brookeriana,0,39
E. brookeriana,0,31
E. brookeriana,1,45
E. brookeriana,6,32
E. brookeriana,0,0
E. brookeriana,5,25
E. brookeriana,1,39
E. brookeriana,1,24
E. brookeriana,4,42
E. brookeriana,0,28
E. brookeriana,0,19
E. brookeriana,15,33
E. brookeriana,12,19
E. brookeriana,0,29
