category,percent_des,area_des_ha
01_PPA,27.8299835,1704755.084
02_Protected_Other,0.97411307,59670.32672
03_Exclude_1_2_Activities,16.05799744,983649.6232
04_Managed,17.79102579,1089808.108
01_PPA,85.39350995,137632.8399
02_Protected_Other,0,0
03_Exclude_1_2_Activities,0.587443596,946.8111845
04_Managed,13.9213563,22437.72159
01_PPA,1.940931251,544.6343172
02_Protected_Other,6.437763536,1806.466327
03_Exclude_1_2_Activities,0.902154878,253.1488457
04_Managed,79.51121796,22311.21678
01_PPA,4.73724061,3216.499199
02_Protected_Other,1.507623344,1023.648508
03_Exclude_1_2_Activities,3.073396035,2086.779351
04_Managed,24.93193177,16928.32287
01_PPA,19.11321954,7200.115891
02_Protected_Other,0.217957086,82.10632826
03_Exclude_1_2_Activities,1.664683646,627.100795
04_Managed,50.55971748,19046.28493
01_PPA,7.279058022,4978.99918
02_Protected_Other,0.515020647,352.2828599
03_Exclude_1_2_Activities,1.083633689,741.2238278
04_Managed,25.75585419,17617.44122
01_PPA,22.97182245,12644.17177
02_Protected_Other,1.638135415,901.6640114
03_Exclude_1_2_Activities,13.93758672,7671.53938
04_Managed,46.69429784,25701.51863
01_PPA,29.6590569,874111.7955
02_Protected_Other,0.416608601,12278.28968
03_Exclude_1_2_Activities,4.224860168,124515.0889
04_Managed,30.26976635,892110.6258
01_PPA,4.343207293,419008.9943
02_Protected_Other,0,0
03_Exclude_1_2_Activities,13.54568392,1306813.839
04_Managed,23.26392986,2244377.299
01_PPA,0.750325158,21764.29901
02_Protected_Other,0.155379365,4507.009962
03_Exclude_1_2_Activities,8.428728289,244487.8207
04_Managed,14.79540845,429162.8636
01_PPA,99.98084502,77445.9147
02_Protected_Other,0,0
03_Exclude_1_2_Activities,0,0
04_Managed,0,0
01_PPA,7.674051729,25277.81583
02_Protected_Other,0,0
03_Exclude_1_2_Activities,19.43429115,64015.26206
04_Managed,35.08569751,115569.9533
01_PPA,1.223172674,4321.141706
02_Protected_Other,0.008857752,31.29206549
03_Exclude_1_2_Activities,2.117074609,7479.058011
04_Managed,13.53842613,47827.63629
01_PPA,1.118903841,1686.437614
02_Protected_Other,0,0
03_Exclude_1_2_Activities,0.105914169,159.6362719
04_Managed,5.700600037,8592.07554
01_PPA,4.336539255,10894.78419
02_Protected_Other,1.943897271,4883.696426
03_Exclude_1_2_Activities,1.258840953,3162.614173
04_Managed,9.455472467,23755.19416
01_PPA,16.57304355,240140.7912
02_Protected_Other,0,0
03_Exclude_1_2_Activities,4.255407695,61660.1874
04_Managed,14.22578992,206129.4558
01_PPA,19.08262848,404965.4311
02_Protected_Other,0.002391594,50.75365
03_Exclude_1_2_Activities,11.93291494,253236.4998
04_Managed,37.53798691,796619.1379
01_PPA,60.63608935,1750.866526
02_Protected_Other,0,0
03_Exclude_1_2_Activities,9.83809109,284.0747904
04_Managed,29.52570246,852.5543889
01_PPA,6.097471006,31282.24504
02_Protected_Other,1.347259321,6911.930566
03_Exclude_1_2_Activities,6.607491065,33898.83353
04_Managed,13.21534981,67799.55342
01_PPA,7.415603396,18735.28318
02_Protected_Other,0.379934298,959.8917682
03_Exclude_1_2_Activities,23.17052179,58539.57717
04_Managed,14.09845146,35619.28362
01_PPA,56.61310627,46229.37306
02_Protected_Other,0,0
03_Exclude_1_2_Activities,6.095551329,4977.53144
04_Managed,37.29119812,30451.40645
01_PPA,9.818863744,14787.49856
02_Protected_Other,0,0
03_Exclude_1_2_Activities,4.896854203,7374.806942
04_Managed,28.94170606,43587.06343
01_PPA,13.37743184,30493.56033
02_Protected_Other,0.02101626,47.90609924
03_Exclude_1_2_Activities,1.435550272,3272.30513
04_Managed,31.51660972,71841.41557
01_PPA,16.52372118,84842.38869
02_Protected_Other,0,0
03_Exclude_1_2_Activities,22.61737051,116130.7262
04_Managed,7.777449251,39933.94499
01_PPA,17.11470087,22790.34283
02_Protected_Other,0.075482741,100.5146141
02_Protected_Other,0,0
