Statistic,2015,2016
Average expenditure per household,8629,8784
Average expenditure per household,6126,6176
Average expenditure per household,574,578
Average expenditure per household,256,264
Average expenditure per household,126,123
Average expenditure per household,192,192
Average expenditure per household,175,169
Average expenditure per household,17,22
Average expenditure per household,341,347
Average expenditure per household,40,44
Average expenditure per household,53,59
Average expenditure per household,39,42
Average expenditure per household,4,3
Average expenditure per household,11,14
Average expenditure per household,248,244
Average expenditure per household,23,26
Average expenditure per household,225,218
Average expenditure per household,103,89
Average expenditure per household,47,53
Average expenditure per household,61,64
Average expenditure per household,13,12
Average expenditure per household,755,781
Average expenditure per household,473,492
Average expenditure per household,70,69
Average expenditure per household,57,53
Average expenditure per household,52,53
Average expenditure per household,15,20
Average expenditure per household,10,9
Average expenditure per household,5,11
Average expenditure per household,18,17
Average expenditure per household,105,117
Average expenditure per household,39,42
Average expenditure per household,66,74
Average expenditure per household,81,80
Average expenditure per household,74,83
Average expenditure per household,187,203
Average expenditure per household,93,97
Average expenditure per household,40,40
Average expenditure per household,51,56
Average expenditure per household,2,1
Average expenditure per household,94,106
Average expenditure per household,37,48
Average expenditure per household,18,21
Average expenditure per household,1,2
Average expenditure per household,19,25
Average expenditure per household,22,23
Average expenditure per household,5,6
Average expenditure per household,17,17
Average expenditure per household,14,14
Average expenditure per household,20,21
Average expenditure per household,96,85
Average expenditure per household,11,13
Average expenditure per household,84,72
Average expenditure per household,710,718
Average expenditure per household,537,551
Average expenditure per household,43,46
Average expenditure per household,60,65
Average expenditure per household,41,42
Average expenditure per household,16,19
Average expenditure per household,27,26
Average expenditure per household,39,48
Average expenditure per household,13,13
Average expenditure per household,28,30
Average expenditure per household,27,30
Average expenditure per household,21,20
Average expenditure per household,176,163
Average expenditure per household,40,48
Average expenditure per household,16,15
Average expenditure per household,17,23
Average expenditure per household,7,10
Average expenditure per household,133,118
Average expenditure per household,47,44
Average expenditure per household,15,13
Average expenditure per household,4,3
Average expenditure per household,6,6
Average expenditure per household,22,21
Average expenditure per household,72,69
Average expenditure per household,14,6
Average expenditure per household,4,1
Average expenditure per household,10,5
Average expenditure per household,903,888
Average expenditure per household,287,293
Average expenditure per household,79,78
Average expenditure per household,28,28
Average expenditure per household,35,35
Average expenditure per household,145,153
Average expenditure per household,217,195
Average expenditure per household,42,43
Average expenditure per household,60,59
Average expenditure per household,213,209
Average expenditure per household,24,29
Average expenditure per household,84,89
Average expenditure per household,1194,1163
Average expenditure per household,301,316
Average expenditure per household,130,110
Average expenditure per household,295,263
Average expenditure per household,33,29
Average expenditure per household,435,445
Average expenditure per household,63,63
Average expenditure per household,372,382
Average expenditure per household,77,83
Average expenditure per household,159,148
Average expenditure per household,135,150
Average expenditure per household,126,137
Average expenditure per household,10,14
Average expenditure per household,213,203
Average expenditure per household,114,96
Average expenditure per household,54,45
Average expenditure per household,43,32
Average expenditure per household,37,35
Average expenditure per household,16,17
Average expenditure per household,8,5
Average expenditure per household,8,10
Average expenditure per household,6,3
Average expenditure per household,61,72
Average expenditure per household,34,42
Average expenditure per household,27,30
Average expenditure per household,1437,1499
Average expenditure per household,396,424
Average expenditure per household,163,175
Average expenditure per household,114,109
Average expenditure per household,18,30
Average expenditure per household,30,35
Average expenditure per household,233,249
Average expenditure per household,97,103
Average expenditure per household,14,14
Average expenditure per household,41,41
Average expenditure per household,32,48
Average expenditure per household,24,21
Average expenditure per household,25,22
Average expenditure per household,270,275
Average expenditure per household,45,50
Average expenditure per household,15,18
Average expenditure per household,18,13
Average expenditure per household,4,6
Average expenditure per household,5,10
Average expenditure per household,225,224
Average expenditure per household,85,82
Average expenditure per household,53,57
Average expenditure per household,11,11
Average expenditure per household,57,54
Average expenditure per household,18,20
Average expenditure per household,69,67
Average expenditure per household,25,21
Average expenditure per household,40,43
Average expenditure per household,5,3
Average expenditure per household,237,240
Average expenditure per household,55,54
Average expenditure per household,26,29
Average expenditure per household,37,35
Average expenditure per household,19,20
Average expenditure per household,32,36
Average expenditure per household,10,9
Average expenditure per household,23,25
Average expenditure per household,12,12
Average expenditure per household,22,20
Average expenditure per household,27,16
Average expenditure per household,121,140
Average expenditure per household,56,56
Average expenditure per household,75,81
Average expenditure per household,83,86
Average expenditure per household,72,66
Average expenditure per household,11,19
Average expenditure per household,102,114
Average expenditure per household,26,30
Average expenditure per household,11,12
Average expenditure per household,13,14
Average expenditure per household,8,15
Average expenditure per household,5,5
Average expenditure per household,21,18
Average expenditure per household,2502,2608
Average expenditure per household,2222,2303
Average expenditure per household,281,305
