"Table 380-0063 Gross domestic product, income-based, quarterly (dollars x 1,000,000)",,
Survey or program details:,,
National Gross Domestic Product by Income and by Expenditure Accounts - 1901,,
Geography,Q4 2016,Q1 2017
Canada,1055988,1065836
Canada,906860,916956
Canada,149128,148880
Canada,547476,567600
Canada,255480,276476
Canada,222148,220744
Canada,69848,70380
Canada,241460,246332
Canada,181784,185364
Canada,59676,60968
Canada,91688,92444
Canada,141076,142152
Canada,1392,700
Canada,2079080,2115064
Source:,,
"Statistics Canada. Table 380-0063 - Gross domestic product, income-based, quarterly (dollars)",,
"(accessed: March 30, 2018)",,
