Condition,MoralPun,AntiSocPun
0,0,0
0,5,0
0,2,0
0,0,0
0,7,0
0,0,0
0,0,0
0,0,0
0,4,7
0,2,1
0,0,0
0,12,0
0,5,0
0,5,5
0,1,0
0,0,0
0,9,1
0,2,0
0,4,0
0,0,2
0,0,1
0,0,0
0,6,0
0,4,0
0,5,0
0,4,3
0,2,0
0,6,0
0,0,3
0,1,0
0,0,0
0,7,0
0,8,1
0,0,1
0,1,2
0,2,3
0,1,0
0,2,0
0,2,8
0,2,0
0,9,0
0,7,0
0,0,0
0,2,0
0,0,0
0,5,1
0,1,0
0,6,0
0,12,2
0,8,0
0,0,0
0,6,0
1,9,2
1,0,0
1,14,30
1,4,5
1,0,6
1,11,0
1,18,0
1,0,0
1,1,0
1,6,2
1,4,1
1,7,11
1,1,8
1,3,0
1,11,9
1,12,18
1,0,11
1,2,0
1,1,1
1,2,0
1,1,2
1,5,10
1,3,0
1,5,0
1,1,0
1,3,0
1,0,0
1,4,2
1,0,0
1,0,0
1,0,0
1,0,2
1,5,0
1,0,13
1,6,5
1,0,0
1,9,7
1,9,0
1,4,0
1,6,1
1,10,16
1,3,3
1,3,1
1,4,2
1,0,1
1,0,0
1,6,0
1,4,12
1,9,0
1,3,9
1,1,3
1,1,5
