Statistics,2016-06 (Jun),2016-12 (Dec),,,,,,,,,,,,,,,,
Total Market Transactions (count),19734,9336,,,,,,,,,,,,,,,,
RESIDENTIAL TOTAL (count),19007,8817,,,,,,,,,,,,,,,,
RESIDENTIAL - ACREAGE (count),890,424,,,,,,,,,,,,,,,,
RESIDENTIAL - COMMERCE (count),85,75,,,,,,,,,,,,,,,,
RESIDENTIAL - FARM (count),193,60,,,,,,,,,,,,,,,,
RESIDENTIAL - MULTI-FAMILY (count),136,67,,,,,,,,,,,,,,,,
RESIDENTIAL - SINGLE FAMILY RESIDENTIAL (count),10004,3643,,,,,,,,,,,,,,,,
RESIDENTIAL - STRATA RESIDENTIAL (count),5796,3118,,,,,,,,,,,,,,,,
RESIDENTIAL - STRATA NON-RESIDENTIAL or RENTAL (count),277,169,,,,,,,,,,,,,,,,
RESIDENTIAL - OTHER (count),1626,1261,,,,,,,,,,,,,,,,
COMMERCIAL TOTAL (count),429,333,,,,,,,,,,,,,,,,
COMMERCIAL - COMMERCE (count),222,167,,,,,,,,,,,,,,,,
COMMERCIAL - STRATA NON-RESIDENTIAL (count),117,99,,,,,,,,,,,,,,,,
COMMERCIAL - OTHER (count),90,67,,,,,,,,,,,,,,,,
RECREATIONAL TOTAL (count),142,72,,,,,,,,,,,,,,,,
FARM TOTAL (count),107,80,,,,,,,,,,,,,,,,
OTHER/UNKNOWN TOTAL (count),49,34,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
